time,action
1783995255.074,LEFT
1783995256.238,DOWN
1783995257.479,RIGHT
1783995258.388,UP
1783995265.192,RIGHT
1783995269.808,LEFT
1783995271.863,UP
1783995273.589,RIGHT
1783995275.027,DOWN
1783995275.844,LEFT
1783995279.440,RIGHT
1783995281.353,LEFT
1783995284.720,UP
1783995285.627,LEFT
1783995286.481,UP
1783995287.784,RIGHT
1783995289.083,RIGHT
1783995291.253,LEFT
1783995292.029,UP
1783995292.895,LEFT
1783995293.839,UP
1783995294.838,RIGHT
1783995296.556,LEFT
1783995298.114,RIGHT
1783995300.033,RIGHT
1783995302.369,LEFT
1783995304.349,DOWN
1783995305.409,LEFT
1783995306.613,DOWN
1783995311.991,DOWN
1783995314.549,RIGHT
1783995314.974,RIGHT
1783995316.711,DOWN
1783995317.347,LEFT
1783995317.745,DOWN
1783995319.038,DOWN
1783995319.409,LEFT
1783995322.824,UP
1783995324.274,RIGHT
1783995325.504,RIGHT
1783995325.859,UP
1783995326.594,LEFT
1783995327.477,UP
1783995328.655,LEFT
1783995329.916,RIGHT
1783995330.640,LEFT
1783995331.105,RIGHT
1783995331.747,RIGHT
1783995332.174,LEFT
1783995332.840,LEFT
1783995333.303,RIGHT
1783995335.811,DOWN
1783995337.126,LEFT
1783995338.237,RIGHT
1783995339.570,RIGHT
1783995340.104,LEFT
1783995341.077,RIGHT
1783995341.907,LEFT
1783995344.471,RIGHT
1783995348.080,UP
1783995349.469,LEFT
1783995349.806,RIGHT
1783995350.550,DOWN
1783995353.372,LEFT
1783995353.761,LEFT
1783995356.170,RIGHT
1783995356.887,LEFT
1783995357.341,UP
1783995358.555,RIGHT
1783995359.057,UP
1783995360.242,RIGHT
1783995361.148,LEFT
1783995361.703,RIGHT
1783995362.954,UP
1783995363.856,UP
1783995367.270,UP
1783995368.043,LEFT
1783995368.812,LEFT
1783995369.127,UP
1783995370.437,RIGHT
1783995372.986,RIGHT
1783995373.311,LEFT
1783995374.696,RIGHT
1783995378.339,DOWN
1783995379.940,DOWN
1783995384.643,LEFT
1783995386.854,LEFT
1783995388.428,RIGHT
1783995390.263,UP
1783995390.622,LEFT
1783995392.270,UP
1783995393.070,RIGHT
1783995393.859,DOWN
1783995394.584,LEFT
1783995395.525,DOWN
1783995396.405,RIGHT
1783995398.037,LEFT
1783995399.357,RIGHT
1783995399.980,RIGHT
1783995402.154,UP
1783995403.485,UP
1783995404.824,LEFT
1783995405.286,UP
1783995405.690,LEFT
1783995406.994,RIGHT
1783995407.919,RIGHT
1783995408.850,UP
1783995409.393,LEFT
1783995410.514,LEFT
1783995412.371,UP
1783995412.511,RIGHT
1783995412.918,LEFT
1783995414.610,RIGHT
1783995414.949,LEFT
1783995415.585,DOWN
1783995416.756,RIGHT
1783995417.081,UP
1783995417.649,RIGHT
1783995418.311,UP
1783995418.863,LEFT
1783995419.628,UP
1783995419.737,LEFT
1783995420.452,RIGHT
1783995422.419,RIGHT
1783995423.205,DOWN
1783995423.789,UP
1783995424.742,LEFT
1783995426.836,RIGHT
1783995427.242,UP
1783995428.313,DOWN
1783995428.607,LEFT
1783995428.981,LEFT
1783995430.570,UP
1783995431.338,RIGHT
1783995431.980,UP
1783995433.206,LEFT
1783995434.730,UP
1783995435.237,RIGHT
1783995436.403,LEFT
1783995437.092,DOWN
1783995437.645,RIGHT
1783995438.374,DOWN
1783995439.168,RIGHT
1783995440.221,UP
1783995440.437,LEFT
1783995440.791,RIGHT
1783995442.349,LEFT
1783995443.169,LEFT
1783995444.060,RIGHT
1783995445.821,RIGHT
1783995447.814,UP
1783995449.580,DOWN
1783995450.126,UP
1783995451.154,LEFT
1783995453.068,RIGHT
1783995453.583,UP
1783995454.624,DOWN
1783995454.903,LEFT
1783995460.714,LEFT
1783995461.305,LEFT
1783995462.286,RIGHT
1783995464.391,RIGHT
1783995464.727,UP
1783995465.793,DOWN
1783995466.145,LEFT
1783995466.642,DOWN
1783995467.019,LEFT
1783995468.113,RIGHT
1783995468.489,LEFT
1783995468.986,RIGHT
1783995469.343,LEFT
1783995469.757,RIGHT
1783995470.146,LEFT
1783995470.620,RIGHT
1783995470.929,RIGHT
1783995471.394,LEFT
1783995471.877,RIGHT
1783995474.121,LEFT
1783995474.837,DOWN
1783995476.169,DOWN
1783995476.626,RIGHT
1783995477.196,DOWN
1783995477.608,LEFT
1783995477.952,RIGHT
1783995478.456,UP
1783995479.906,DOWN
1783995480.585,LEFT
1783995482.769,RIGHT
1783995483.437,LEFT
1783995483.941,UP
1783995484.837,RIGHT
1783995485.338,UP
1783995485.839,UP
1783995485.922,UP
1783995486.006,UP
1783995486.089,UP
1783995489.805,LEFT
1783995490.936,LEFT
1783995493.159,RIGHT
1783995493.348,UP
1783995494.237,UP
1783995494.742,UP
1783995503.030,RIGHT
1783995503.537,RIGHT
1783995505.103,LEFT
1783995546.069,RIGHT
1783995546.592,DOWN
1783995547.175,DOWN
1783995547.424,DOWN
1783995548.586,DOWN
1783995549.002,LEFT
1783995549.668,LEFT
1783995550.421,RIGHT
1783995550.503,LEFT
1783995550.789,LEFT
1783995552.063,LEFT
1783995552.737,LEFT
1783995553.565,RIGHT
1783995553.592,LEFT
1783995553.885,LEFT
1783995555.197,RIGHT
1783995556.031,UP
1783995556.130,LEFT
1783995556.475,DOWN
1783995640.595,DOWN
